team_name,season,conference_abbreviation,conference_name,wins,losses,adj_em,adj_o,adj_d,tempo,luck,sos_adj_em,sos_off,sos_def,ncsos_adj_em,rank_adj_em,rank_adj_o,rank_adj_d,rank_tempo,rank_luck,rank_sos_adj_em,efg_off,efg_def,to_rate_off,to_rate_def,orb_rate,drb_rate,ft_rate,opp_ft_rate,source_ratings_endpoint,source_four_factors_endpoint
Austin Peay,2026,ASun,,22,9,-0.3013,108.137,108.438,69.4708,0.0332,-6.2668,,,,175,191,152,73,104,,,,,,,,37.6457,,ratings,four-factors
BYU,2026,B12,,21,10,22.4157,125.964,103.548,69.8272,-0.0108,14.357,,,,25,11,68,62,218,,,,,,,,34.9896,,ratings,four-factors
Ball St.,2026,MAC,,12,19,-11.3548,98.6424,109.997,63.7364,-0.005,-3.7728,,,,291,339,190,344,199,,,,,,,,31.6302,,ratings,four-factors
Baylor,2026,B12,,16,15,16.2484,123.242,106.994,67.7882,-0.0735,14.2417,,,,48,22,122,153,340,,,,,,,,35.1618,,ratings,four-factors
Bellarmine,2026,ASun,,13,19,-9.6046,116.757,126.361,64.7529,-0.0131,-4.403,,,,278,71,365,321,223,,,,,,,,35.0031,,ratings,four-factors
Belmont,2026,MVC,,26,6,12.2949,120.925,108.63,68.9945,0.0346,0.2253,,,,67,41,154,101,98,,,,,,,,32.5335,,ratings,four-factors
Bethune Cookman,2026,SWAC,,17,14,-6.2225,103.765,109.988,69.351,0.0842,-6.7432,,,,238,277,189,79,21,,,,,,,,41.2142,,ratings,four-factors
Binghamton,2026,AE,,8,23,-25.5361,97.7778,123.314,65.3557,-0.0192,-12.0066,,,,359,343,361,296,236,,,,,,,,41.4737,,ratings,four-factors
Boise St.,2026,MWC,,20,11,14.3674,117.804,103.437,65.5358,0.0391,9.1968,,,,55,59,65,285,87,,,,,,,,42.3385,,ratings,four-factors
Boston College,2026,ACC,,11,20,1.1235,104.063,102.939,65.9919,-0.0353,6.9657,,,,152,270,58,263,289,,,,,,,,32.3967,,ratings,four-factors
Boston University,2026,PL,,17,16,-7.2842,112.521,119.805,63.2479,-0.0234,-8.3935,,,,254,115,345,354,251,,,,,,,,31.0584,,ratings,four-factors
Bowling Green,2026,MAC,,18,13,1.5036,107.307,105.804,68.3945,-0.0793,-3.2833,,,,146,211,102,123,344,,,,,,,,37.1515,,ratings,four-factors
Bradley,2026,MVC,,21,12,3.9901,111.929,107.939,67.3794,0.0394,1.023,,,,123,127,140,181,86,,,,,,,,36.127,,ratings,four-factors
Brown,2026,Ivy,,9,18,-10.841,98.1123,108.953,66.5346,-0.0502,-3.6148,,,,287,342,163,228,310,,,,,,,,28.086,,ratings,four-factors
Bryant,2026,AE,,9,22,-22.9993,96.7391,119.738,64.2714,0.0094,-7.6482,,,,355,348,343,333,161,,,,,,,,29.4155,,ratings,four-factors
Bucknell,2026,PL,,10,23,-16.6913,98.3745,115.066,66.9433,0.0153,-5.721,,,,331,341,291,206,144,,,,,,,,29.7574,,ratings,four-factors
Buffalo,2026,MAC,,17,14,-3.2708,112.998,116.269,66.5021,-0.0153,-3.9419,,,,207,111,308,233,227,,,,,,,,39.652,,ratings,four-factors
Butler,2026,BE,,16,15,9.7801,116.359,106.579,68.7457,-0.023,10.0357,,,,82,75,114,108,248,,,,,,,,42.4112,,ratings,four-factors
CSUN,2026,BW,,19,13,-0.639,108.191,108.83,73.8448,0.0778,-0.136,,,,176,188,158,2,28,,,,,,,,35.3033,,ratings,four-factors
Cal Baptist,2026,WAC,,23,8,5.4068,108.151,102.744,65.7615,0.084,-1.9529,,,,112,190,54,272,22,,,,,,,,37.0572,,ratings,four-factors
Cal Poly,2026,BW,,14,18,-3.8664,109.898,113.764,74.1541,0.0091,1.403,,,,211,160,263,1,165,,,,,,,,35.2784,,ratings,four-factors
Cal St. Bakersfield,2026,BW,,8,24,-15.397,101.943,117.34,70.2033,0.0123,0.605,,,,327,306,319,41,152,,,,,,,,42.2247,,ratings,four-factors
Cal St. Fullerton,2026,BW,,17,15,0.3032,110.597,110.294,72.6291,0.0456,1.5443,,,,169,151,195,6,64,,,,,,,,37.3118,,ratings,four-factors
California,2026,ACC,,21,10,11.7261,113.552,101.826,68.1299,0.0581,7.1517,,,,71,107,43,134,47,,,,,,,,37.2628,,ratings,four-factors
Campbell,2026,CAA,,16,17,-0.885,111.941,112.826,69.8834,0.0165,1.1921,,,,177,126,249,57,141,,,,,,,,43.5556,,ratings,four-factors
Canisius,2026,MAAC,,10,21,-19.2985,95.4396,114.738,64.2748,0.0187,-7.6469,,,,343,355,284,332,133,,,,,,,,31.4198,,ratings,four-factors
Central Arkansas,2026,ASun,,22,12,1.2789,110.399,109.12,68.0202,0.0409,-5.0582,,,,150,154,166,139,80,,,,,,,,31.1635,,ratings,four-factors
Central Connecticut,2026,NEC,,18,12,-12.7917,104.859,117.651,65.1508,0.1165,-10.8704,,,,305,259,326,303,10,,,,,,,,31.2299,,ratings,four-factors
Central Michigan,2026,MAC,,10,21,-9.0943,106.058,115.152,67.1863,-0.0983,-1.3497,,,,270,231,292,193,357,,,,,,,,31.4424,,ratings,four-factors
Charleston,2026,CAA,,21,11,-0.1448,108.264,108.409,67.7077,0.1048,-1.7041,,,,173,186,150,161,14,,,,,,,,41.2162,,ratings,four-factors
